"species"	"order"	"family"	"biomes_salve"	"cerrado_sp"	"limbs"	"reproduction"	"biomes_gard"	"habitat"	"activity"	"cerrado_endemic"	"phylogeny"	"suborder"	"genus"	"year"
"Dibernardia bilineata"	"Squamata"	"Dipsadidae"	"Mata Atlântica"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	NA	NA	"no"	"no"	"Serpentes"	"Dibernardia"	1885
"Dibernardia persimilis"	"Squamata"	"Dipsadidae"	"Mata Atlântica"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	NA	NA	"no"	"no"	"Serpentes"	"Dibernardia"	1869
"Dibernardia poecilopogon"	"Squamata"	"Dipsadidae"	"Mata Atlântica, Pampa"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	NA	NA	"no"	"no"	"Serpentes"	"Dibernardia"	1863
"Diploglossus fasciatus"	"Squamata"	"Diploglossidae"	"Amazônia, Mata Atlântica"	"no"	"4 well developed limbs"	NA	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"no"	"Sauria"	"Diploglossus"	1831
"Diploglossus lessonae"	"Squamata"	"Diploglossidae"	"Caatinga, Mata Atlântica"	"no"	"4 well developed limbs"	"oviparous"	"Deserts & Xeric Shrublands"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Diploglossus"	1890
"Dipsas albifrons"	"Squamata"	"Dipsadidae"	"Mata Atlântica"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Nocturnal"	"no"	"yes"	"Serpentes"	"Dipsas"	1884
"Dipsas alternans"	"Squamata"	"Dipsadidae"	"Mata Atlântica, Pampa, Sistema Costeiro-Marinho"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Nocturnal"	"no"	"no"	"Serpentes"	"Dipsas"	1885
"Dipsas bothropoides"	"Squamata"	"Dipsadidae"	"Mata Atlântica"	"no"	"limbless"	NA	NA	NA	NA	"no"	"no"	"Serpentes"	"Dipsas"	2020
"Dipsas bucephala"	"Squamata"	"Dipsadidae"	"Amazônia, Cerrado, Mata Atlântica"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Savanna"	"Nocturnal"	"no"	"yes"	"Serpentes"	"Dipsas"	1802
"Dipsas catesbyi"	"Squamata"	"Dipsadidae"	"Amazônia, Cerrado, Mata Atlântica, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Nocturnal"	"no"	"yes"	"Serpentes"	"Dipsas"	1796
"Dipsas copei"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Nocturnal"	"no"	"no"	"Serpentes"	"Dipsas"	1872
"Dipsas indica"	"Squamata"	"Dipsadidae"	"Amazônia, Cerrado, Mata Atlântica"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Nocturnal"	"no"	"yes"	"Serpentes"	"Dipsas"	1768
"Dipsas lavillai"	"Squamata"	"Dipsadidae"	"Pantanal"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest"	"Nocturnal"	"no"	"no"	"Serpentes"	"Dipsas"	1993
"Dipsas mikanii"	"Squamata"	"Dipsadidae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Savanna"	"Nocturnal"	"no"	"yes"	"Serpentes"	"Dipsas"	1837
"Dipsas neuwiedi"	"Squamata"	"Dipsadidae"	"Caatinga, Cerrado, Mata Atlântica, Pampa, Sistema Costeiro-Marinho"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna"	"Nocturnal"	"no"	"yes"	"Serpentes"	"Dipsas"	1911
"Dipsas pavonina"	"Squamata"	"Dipsadidae"	"Amazônia, Cerrado"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Nocturnal"	"no"	"yes"	"Serpentes"	"Dipsas"	1837
"Dipsas sazimai"	"Squamata"	"Dipsadidae"	"Caatinga, Mata Atlântica"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Nocturnal"	"no"	"no"	"Serpentes"	"Dipsas"	2010
"Dipsas turgida"	"Squamata"	"Dipsadidae"	"Amazônia, Cerrado, Mata Atlântica, Pampa, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Grassland/Savanna"	NA	"no"	"yes"	"Serpentes"	"Dipsas"	1868
"Dipsas variegata"	"Squamata"	"Dipsadidae"	"Amazônia, Caatinga, Mata Atlântica"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Nocturnal"	"no"	"yes"	"Serpentes"	"Dipsas"	1854
"Dipsas ventrimaculata"	"Squamata"	"Dipsadidae"	"Cerrado, Mata Atlântica, Pampa, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Savanna"	"Nocturnal"	"no"	"yes"	"Serpentes"	"Dipsas"	1885
"Ditaxodon taeniatus"	"Squamata"	"Dipsadidae"	"Cerrado, Mata Atlântica"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"no"	"Serpentes"	"Ditaxodon"	1868
"Dracaena guianensis"	"Squamata"	"Teiidae"	"Amazônia"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Wetlands"	"Diurnal"	"no"	"yes"	"Sauria"	"Dracaena"	1801
"Dracaena paraguayensis"	"Squamata"	"Teiidae"	"Cerrado, Pantanal"	"yes"	"4 well developed limbs"	"oviparous"	"Flooded Grassleands & Savannas"	"Savanna"	"Diurnal"	"no"	"no"	"Sauria"	"Dracaena"	1950
"Drepanoides anomalus"	"Squamata"	"Dipsadidae"	"Amazônia, Cerrado"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"yes"	"Serpentes"	"Drepanoides"	1863
"Dryadosaura nordestina"	"Squamata"	"Gymnophthalmidae"	"Caatinga, Mata Atlântica"	"no"	"4 well developed limbs"	"oviparous"	"Deserts & Xeric Shrublands"	"Forest/Savanna"	"Diurnal"	"no"	"yes"	"Sauria"	"Dryadosaura"	2005
"Drymarchon corais"	"Squamata"	"Colubridae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna"	"Diurnal"	"no"	"yes"	"Serpentes"	"Drymarchon"	1827
"Drymobius rhombifer"	"Squamata"	"Colubridae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"yes"	"Serpentes"	"Drymobius"	1860
"Drymoluber brazili"	"Squamata"	"Colubridae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Savanna"	NA	"yes"	"yes"	"Serpentes"	"Drymoluber"	1918
"Drymoluber dichrous"	"Squamata"	"Colubridae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna"	NA	"no"	"yes"	"Serpentes"	"Drymoluber"	1863
"Dryophylax almae"	"Squamata"	"Dipsadidae"	"Caatinga, Mata Atlântica"	"no"	"limbless"	"viviparous"	"Deserts & Xeric Shrublands"	NA	NA	"no"	"no"	"Serpentes"	"Dryophylax"	2003
"Dryophylax chaquensis"	"Squamata"	"Dipsadidae"	"Cerrado, Pantanal"	"yes"	"limbless"	"viviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	NA	"Nocturnal"	"no"	"no"	"Serpentes"	"Dryophylax"	1993
"Dryophylax hypoconia"	"Squamata"	"Dipsadidae"	"Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal"	"yes"	"limbless"	"viviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Savanna"	NA	"no"	"yes"	"Serpentes"	"Dryophylax"	1860
"Dryophylax nattereri"	"Squamata"	"Dipsadidae"	"Caatinga, Cerrado, Mata Atlântica, Pampa"	"yes"	"limbless"	NA	NA	NA	NA	"no"	"no"	"Serpentes"	"Dryophylax"	1820
"Dryophylax phoenix"	"Squamata"	"Dipsadidae"	"Caatinga, Cerrado, Mata Atlântica"	"yes"	"limbless"	NA	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	NA	NA	"no"	"no"	"Serpentes"	"Dryophylax"	2017
"Dryophylax ramonriveroi"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	"viviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	NA	NA	"no"	"no"	"Serpentes"	"Dryophylax"	2005
"Echinanthera cephalomaculata"	"Squamata"	"Dipsadidae"	"Caatinga, Mata Atlântica"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"no"	"Serpentes"	"Echinanthera"	1994
"Echinanthera cephalostriata"	"Squamata"	"Dipsadidae"	"Cerrado, Mata Atlântica"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"no"	"Serpentes"	"Echinanthera"	1996
"Echinanthera cyanopleura"	"Squamata"	"Dipsadidae"	"Mata Atlântica, Pampa"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"no"	"Serpentes"	"Echinanthera"	1885
"Echinanthera melanostigma"	"Squamata"	"Dipsadidae"	"Cerrado, Mata Atlântica"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna"	NA	"no"	"yes"	"Serpentes"	"Echinanthera"	1824
"Echinanthera undulata"	"Squamata"	"Dipsadidae"	"Cerrado, Mata Atlântica"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Shrubland"	NA	"no"	"yes"	"Serpentes"	"Echinanthera"	1824
"Ecpleopus gaudichaudii"	"Squamata"	"Gymnophthalmidae"	"Mata Atlântica"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"yes"	"Sauria"	"Ecpleopus"	1839
"Elapomorphus quinquelineatus"	"Squamata"	"Dipsadidae"	"Cerrado, Mata Atlântica"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"yes"	"Serpentes"	"Elapomorphus"	1820
"Elapomorphus wuchereri"	"Squamata"	"Dipsadidae"	"Mata Atlântica"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"no"	"Serpentes"	"Elapomorphus"	1861
"Enyalioides laticeps"	"Squamata"	"Hoplocercidae"	"Amazônia"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Enyalioides"	1855
"Enyalioides palpebralis"	"Squamata"	"Hoplocercidae"	"Amazônia"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Enyalioides"	1883
"Enyalius bibronii"	"Squamata"	"Leiosauridae"	"Caatinga, Cerrado, Mata Atlântica"	"yes"	"4 well developed limbs"	"oviparous"	"Deserts & Xeric Shrublands"	"Forest/Savanna"	"Diurnal"	"no"	"yes"	"Sauria"	"Enyalius"	1885
"Enyalius bilineatus"	"Squamata"	"Leiosauridae"	"Caatinga, Cerrado, Mata Atlântica"	"yes"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Savanna"	"Diurnal"	"no"	"yes"	"Sauria"	"Enyalius"	1837
"Enyalius boulengeri"	"Squamata"	"Leiosauridae"	"Mata Atlântica"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	NA	NA	"no"	"yes"	"Sauria"	"Enyalius"	1969
"Enyalius brasiliensis"	"Squamata"	"Leiosauridae"	"Mata Atlântica"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Cathemeral"	"no"	"yes"	"Sauria"	"Enyalius"	1829
"Enyalius capetinga"	"Squamata"	"Leiosauridae"	"Cerrado"	"yes"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest"	NA	"yes"	"yes"	"Sauria"	"Enyalius"	2018
"Enyalius catenatus"	"Squamata"	"Leiosauridae"	"Caatinga, Cerrado, Mata Atlântica"	"yes"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Enyalius"	1821
"Enyalius erythroceneus"	"Squamata"	"Leiosauridae"	"Caatinga"	"no"	"4 well developed limbs"	"oviparous"	"Deserts & Xeric Shrublands"	"Forest/Grassland"	"Diurnal"	"no"	"yes"	"Sauria"	"Enyalius"	2006
"Enyalius iheringii"	"Squamata"	"Leiosauridae"	"Mata Atlântica, Pampa"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Enyalius"	1885
"Enyalius leechii"	"Squamata"	"Leiosauridae"	"Amazônia, Cerrado"	"yes"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Enyalius"	1885
"Enyalius perditus"	"Squamata"	"Leiosauridae"	"Mata Atlântica"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"no"	"Sauria"	"Enyalius"	1978
"Enyalius pictus"	"Squamata"	"Leiosauridae"	"Caatinga, Cerrado, Mata Atlântica"	"yes"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna"	NA	"no"	"yes"	"Sauria"	"Enyalius"	1822
"Epicrates assisi"	"Squamata"	"Boidae"	"Caatinga, Cerrado, Mata Atlântica"	"yes"	"limbless"	"viviparous"	"Deserts & Xeric Shrublands"	"Forest/Savanna"	"Nocturnal"	"no"	"yes"	"Serpentes"	"Epicrates"	1944
"Epicrates cenchria"	"Squamata"	"Boidae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal"	"yes"	"limbless"	"viviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Nocturnal"	"no"	"yes"	"Serpentes"	"Epicrates"	1758
"Epicrates crassus"	"Squamata"	"Boidae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal"	"yes"	"limbless"	"viviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Grassland/Savanna"	"Nocturnal"	"yes"	"yes"	"Serpentes"	"Epicrates"	1862
"Epicrates maurus"	"Squamata"	"Boidae"	"Amazônia"	"no"	"limbless"	"viviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna"	"Nocturnal"	"no"	"yes"	"Serpentes"	"Epicrates"	1849
"Epictia albifrons"	"Squamata"	"Leptotyphlopidae"	"Amazônia, Cerrado"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"no"	"Serpentes"	"Epictia"	1824
"Epictia borapeliotes"	"Squamata"	"Leptotyphlopidae"	"Caatinga, Mata Atlântica"	"no"	"limbless"	"oviparous"	"Deserts & Xeric Shrublands"	"Shrubland"	NA	"no"	"no"	"Serpentes"	"Epictia"	1996
"Epictia clinorostris"	"Squamata"	"Leptotyphlopidae"	"Cerrado"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest"	NA	"yes"	"no"	"Serpentes"	"Epictia"	2010
"Epictia munoai"	"Squamata"	"Leptotyphlopidae"	"Mata Atlântica, Pampa"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Grassland"	NA	"no"	"no"	"Serpentes"	"Epictia"	1961
"Epictia striatula"	"Squamata"	"Leptotyphlopidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest"	NA	"no"	"no"	"Serpentes"	"Epictia"	1945
"Epictia vellardi"	"Squamata"	"Leptotyphlopidae"	"Pantanal"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna"	NA	"no"	"no"	"Serpentes"	"Epictia"	1984
"Erythrolamprus aenigma"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	"oviparous"	NA	NA	NA	"no"	"no"	"Serpentes"	"Erythrolamprus"	2021
"Erythrolamprus aesculapii"	"Squamata"	"Dipsadidae"	"Amazônia, Cerrado, Mata Atlântica, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"yes"	"Serpentes"	"Erythrolamprus"	1758
"Erythrolamprus almadensis"	"Squamata"	"Dipsadidae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Grassland/Savanna/Shrubland"	NA	"no"	"yes"	"Serpentes"	"Erythrolamprus"	1824
"Erythrolamprus atraventer"	"Squamata"	"Dipsadidae"	"Mata Atlântica"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"yes"	"Serpentes"	"Erythrolamprus"	1985
"Erythrolamprus breviceps"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Wetlands"	NA	"no"	"yes"	"Serpentes"	"Erythrolamprus"	1860
"Erythrolamprus carajasensis"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Savanna"	NA	"no"	"no"	"Serpentes"	"Erythrolamprus"	1985
"Erythrolamprus cobella"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna/Wetlands"	NA	"no"	"yes"	"Serpentes"	"Erythrolamprus"	1758
"Erythrolamprus dorsocorallinus"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"no"	"Serpentes"	"Erythrolamprus"	2007
"Erythrolamprus frenatus"	"Squamata"	"Dipsadidae"	"Cerrado, Mata Atlântica, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Grassland/Savanna"	NA	"no"	"no"	"Serpentes"	"Erythrolamprus"	1909
"Erythrolamprus jaegeri"	"Squamata"	"Dipsadidae"	"Amazônia, Cerrado, Mata Atlântica, Pampa, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Grassland/Shrubland/Wetlands"	NA	"no"	"yes"	"Serpentes"	"Erythrolamprus"	1858
"Erythrolamprus macrosomus"	"Squamata"	"Dipsadidae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal"	"yes"	"limbless"	NA	NA	NA	NA	"no"	"no"	"Serpentes"	"Erythrolamprus"	1936
"Erythrolamprus maryellenae"	"Squamata"	"Dipsadidae"	"Caatinga, Cerrado, Mata Atlântica"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Grassland/Savanna"	NA	"yes"	"yes"	"Serpentes"	"Erythrolamprus"	1985
"Erythrolamprus miliaris"	"Squamata"	"Dipsadidae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Wetlands"	NA	"no"	"yes"	"Serpentes"	"Erythrolamprus"	1758
"Erythrolamprus mossoroensis"	"Squamata"	"Dipsadidae"	"Caatinga, Cerrado, Mata Atlântica"	"yes"	"limbless"	"oviparous"	"Deserts & Xeric Shrublands"	"Shrubland"	NA	"no"	"yes"	"Serpentes"	"Erythrolamprus"	1973
"Erythrolamprus oligolepis"	"Squamata"	"Dipsadidae"	"Amazônia, Cerrado"	"yes"	"limbless"	NA	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"no"	"Serpentes"	"Erythrolamprus"	1905
"Erythrolamprus poecilogyrus"	"Squamata"	"Dipsadidae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"yes"	"Serpentes"	"Erythrolamprus"	1824
"Erythrolamprus pygmaeus"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	NA	NA	"no"	"yes"	"Serpentes"	"Erythrolamprus"	1868
"Erythrolamprus reginae"	"Squamata"	"Dipsadidae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna/Wetlands"	NA	"no"	"yes"	"Serpentes"	"Erythrolamprus"	1758
"Erythrolamprus rochai"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	NA	"Tropical & Subtropical Moist Broadleaf Forests"	NA	NA	"no"	"no"	"Serpentes"	"Erythrolamprus"	2019
"Erythrolamprus semiaureus"	"Squamata"	"Dipsadidae"	"Mata Atlântica, Pampa"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Grassland/Savanna/Shrubland"	NA	"no"	"no"	"Serpentes"	"Erythrolamprus"	1862
"Erythrolamprus taeniogaster"	"Squamata"	"Dipsadidae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna/Wetlands"	NA	"no"	"yes"	"Serpentes"	"Erythrolamprus"	1863
"Erythrolamprus trebbaui"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Shrubland"	NA	"no"	"no"	"Serpentes"	"Erythrolamprus"	1958
"Erythrolamprus typhlus"	"Squamata"	"Dipsadidae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna"	NA	"no"	"yes"	"Serpentes"	"Erythrolamprus"	1758
"Erythrolamprus viridis"	"Squamata"	"Dipsadidae"	"Caatinga, Cerrado, Mata Atlântica, Sistema Costeiro-Marinho"	"yes"	"limbless"	"oviparous"	"Deserts & Xeric Shrublands"	"Forest"	NA	"no"	"no"	"Serpentes"	"Erythrolamprus"	1862
"Eunectes deschauenseei"	"Squamata"	"Boidae"	"Amazônia"	"no"	"limbless"	"viviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Savanna/Wetlands"	"Nocturnal"	"no"	"no"	"Serpentes"	"Eunectes"	1936
"Eunectes murinus"	"Squamata"	"Boidae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal"	"yes"	"limbless"	"viviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna/Wetlands"	"Cathemeral"	"no"	"yes"	"Serpentes"	"Eunectes"	1758
"Eunectes notaeus"	"Squamata"	"Boidae"	"Cerrado, Mata Atlântica, Pampa, Pantanal"	"yes"	"limbless"	"viviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Grassland/Savanna/Wetlands"	"Diurnal"	"no"	"yes"	"Serpentes"	"Eunectes"	1862
"Eurolophosaurus amathites"	"Squamata"	"Tropiduridae"	"Caatinga"	"no"	"4 well developed limbs"	"oviparous"	"Deserts & Xeric Shrublands"	"Shrubland"	"Diurnal"	"no"	"yes"	"Sauria"	"Eurolophosaurus"	1984
"Eurolophosaurus divaricatus"	"Squamata"	"Tropiduridae"	"Caatinga, Cerrado"	"yes"	"4 well developed limbs"	"oviparous"	"Deserts & Xeric Shrublands"	"Savanna"	"Diurnal"	"no"	"yes"	"Sauria"	"Eurolophosaurus"	1986
"Eurolophosaurus nanuzae"	"Squamata"	"Tropiduridae"	"Caatinga, Cerrado, Mata Atlântica"	"yes"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Shrubland"	"Diurnal"	"yes"	"yes"	"Sauria"	"Eurolophosaurus"	1981
"Eutrachelophis papilio"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	NA	NA	"Forest"	NA	"no"	"no"	"Serpentes"	"Eutrachelophis"	2019
"Exila nigropalmata"	"Squamata"	"Mabuyidae"	"Amazônia"	"no"	"4 well developed limbs"	NA	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Exila"	1918
"Glaucomastix abaetensis"	"Squamata"	"Teiidae"	"Mata Atlântica, Sistema Costeiro-Marinho"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	NA	"Diurnal"	"no"	"no"	"Sauria"	"Glaucomastix"	2002
"Glaucomastix cyanura"	"Squamata"	"Teiidae"	"Caatinga"	"no"	"4 well developed limbs"	"oviparous"	"Deserts & Xeric Shrublands"	NA	NA	"no"	"no"	"Sauria"	"Glaucomastix"	2011
"Glaucomastix itabaianensis"	"Squamata"	"Teiidae"	"Mata Atlântica"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	NA	NA	"no"	"no"	"Sauria"	"Glaucomastix"	2019
"Glaucomastix littoralis"	"Squamata"	"Teiidae"	"Mata Atlântica"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	NA	"Diurnal"	"no"	"no"	"Sauria"	"Glaucomastix"	2000
"Glaucomastix venetacauda"	"Squamata"	"Teiidae"	"Caatinga"	"no"	"4 well developed limbs"	"oviparous"	"Deserts & Xeric Shrublands"	"Savanna"	"Diurnal"	"no"	"yes"	"Sauria"	"Glaucomastix"	2011
"Gomesophis brasiliensis"	"Squamata"	"Dipsadidae"	"Cerrado, Mata Atlântica, Pampa"	"yes"	"limbless"	"viviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Savanna/Wetlands"	NA	"no"	"yes"	"Serpentes"	"Gomesophis"	1918
